Date Time,Day,Hour,Minutes,Seconds,Wind speed
2019-01-05 14:00:00,4,14,0,0,0.8
2019-01-05 15:00:00,4,15,0,0,0.6
2019-01-05 16:00:00,4,16,0,0,1.3
2019-01-05 17:00:00,4,17,0,0,1.2
2019-01-05 18:00:00,4,18,0,0,0.8
2019-01-05 19:00:00,4,19,0,0,0.7
2019-01-05 20:00:00,4,20,0,0,1.6
2019-01-05 21:00:00,4,21,0,0,0.7
2019-01-05 22:00:00,4,22,0,0,1.2
2019-01-05 23:00:00,4,23,0,0,1.2
2019-01-06 00:00:00,5,0,0,0,1.4
2019-01-06 01:00:00,5,1,0,0,0.8
2019-01-06 02:00:00,5,2,0,0,0.9
2019-01-06 03:00:00,5,3,0,0,0.7
2019-01-06 04:00:00,5,4,0,0,1.1
2019-01-06 05:00:00,5,5,0,0,0.9
2019-01-06 06:00:00,5,6,0,0,1.0
2019-01-06 07:00:00,5,7,0,0,0.9
2019-01-06 08:00:00,5,8,0,0,0.6
2019-01-06 09:00:00,5,9,0,0,1.0
2019-01-06 10:00:00,5,10,0,0,0.8
2019-01-06 11:00:00,5,11,0,0,0.5
2019-01-06 12:00:00,5,12,0,0,0.8
2019-01-06 13:00:00,5,13,0,0,1.5
2019-01-06 14:00:00,5,14,0,0,2.4
2019-01-06 15:00:00,5,15,0,0,2.6
2019-01-06 16:00:00,5,16,0,0,1.9
2019-01-06 17:00:00,5,17,0,0,1.6
2019-01-06 18:00:00,5,18,0,0,1.6
2019-01-06 19:00:00,5,19,0,0,1.5
2019-01-06 20:00:00,5,20,0,0,1.0
2019-01-06 21:00:00,5,21,0,0,1.6
2019-01-06 22:00:00,5,22,0,0,0.8
2019-01-06 23:00:00,5,23,0,0,1.2
2019-01-07 00:00:00,6,0,0,0,2.4
2019-01-07 01:00:00,6,1,0,0,1.4
2019-01-07 02:00:00,6,2,0,0,0.8
2019-01-07 03:00:00,6,3,0,0,0.4
2019-01-07 04:00:00,6,4,0,0,0.3
2019-01-07 05:00:00,6,5,0,0,0.8
2019-01-07 06:00:00,6,6,0,0,0.5
2019-01-07 07:00:00,6,7,0,0,0.8
2019-01-07 08:00:00,6,8,0,0,0.4
2019-01-07 09:00:00,6,9,0,0,0.9
2019-01-07 10:00:00,6,10,0,0,1.3
2019-01-07 11:00:00,6,11,0,0,3.3
2019-01-07 12:00:00,6,12,0,0,2.7
2019-01-07 13:00:00,6,13,0,0,2.3
2019-01-07 14:00:00,6,14,0,0,2.4
2019-01-07 15:00:00,6,15,0,0,2.5
2019-01-07 16:00:00,6,16,0,0,2.5
2019-01-07 17:00:00,6,17,0,0,2.9
2019-01-07 18:00:00,6,18,0,0,2.6
2019-01-07 19:00:00,6,19,0,0,1.9
2019-01-07 20:00:00,6,20,0,0,1.4
2019-01-07 21:00:00,6,21,0,0,1.1
2019-01-07 22:00:00,6,22,0,0,0.8
2019-01-07 23:00:00,6,23,0,0,1.5
2019-01-08 00:00:00,7,0,0,0,0.7
2019-01-08 01:00:00,7,1,0,0,0.4
2019-01-08 02:00:00,7,2,0,0,1.5
2019-01-08 03:00:00,7,3,0,0,0.8
2019-01-08 04:00:00,7,4,0,0,0.9
2019-01-08 05:00:00,7,5,0,0,0.9
2019-01-08 06:00:00,7,6,0,0,1.0
2019-01-08 07:00:00,7,7,0,0,1.1
2019-01-08 08:00:00,7,8,0,0,0.8
2019-01-08 09:00:00,7,9,0,0,0.8
2019-01-08 10:00:00,7,10,0,0,1.2
2019-01-08 11:00:00,7,11,0,0,0.6
2019-01-08 12:00:00,7,12,0,0,1.0
2019-01-08 13:00:00,7,13,0,0,1.5
2019-01-08 14:00:00,7,14,0,0,1.7
2019-01-08 15:00:00,7,15,0,0,2.4
2019-01-08 16:00:00,7,16,0,0,1.6
2019-01-08 17:00:00,7,17,0,0,1.3
2019-01-08 18:00:00,7,18,0,0,1.2
2019-01-08 19:00:00,7,19,0,0,2.3
2019-01-08 20:00:00,7,20,0,0,1.5
2019-01-08 21:00:00,7,21,0,0,2.1
2019-01-08 22:00:00,7,22,0,0,0.8
2019-01-08 23:00:00,7,23,0,0,0.7
2019-01-09 00:00:00,8,0,0,0,0.9
2019-01-09 01:00:00,8,1,0,0,1.2
2019-01-09 02:00:00,8,2,0,0,1.4
2019-01-09 03:00:00,8,3,0,0,2.9
2019-01-09 04:00:00,8,4,0,0,3.0
2019-01-09 05:00:00,8,5,0,0,1.7
2019-01-09 06:00:00,8,6,0,0,1.6
2019-01-09 07:00:00,8,7,0,0,0.5
2019-01-09 08:00:00,8,8,0,0,0.6
2019-01-09 09:00:00,8,9,0,0,1.0
2019-01-09 10:00:00,8,10,0,0,0.8
2019-01-09 11:00:00,8,11,0,0,0.7
2019-01-09 12:00:00,8,12,0,0,1.4
2019-01-09 13:00:00,8,13,0,0,2.2
2019-01-09 14:00:00,8,14,0,0,2.5
2019-01-09 15:00:00,8,15,0,0,3.5
2019-01-09 16:00:00,8,16,0,0,2.8
2019-01-09 17:00:00,8,17,0,0,3.1
2019-01-09 18:00:00,8,18,0,0,2.7
2019-01-09 19:00:00,8,19,0,0,2.2
2019-01-09 20:00:00,8,20,0,0,2.5
2019-01-09 21:00:00,8,21,0,0,1.7
2019-01-09 22:00:00,8,22,0,0,2.3
2019-01-09 23:00:00,8,23,0,0,1.8
2019-01-10 00:00:00,9,0,0,0,0.9
2019-01-10 01:00:00,9,1,0,0,0.5
2019-01-10 02:00:00,9,2,0,0,1.1
2019-01-10 03:00:00,9,3,0,0,1.1
2019-01-10 04:00:00,9,4,0,0,0.7
2019-01-10 05:00:00,9,5,0,0,0.9
2019-01-10 06:00:00,9,6,0,0,0.3
2019-01-10 07:00:00,9,7,0,0,0.6
2019-01-10 08:00:00,9,8,0,0,1.0
2019-01-10 09:00:00,9,9,0,0,1.5
2019-01-10 10:00:00,9,10,0,0,1.3
2019-01-10 11:00:00,9,11,0,0,1.0
2019-01-10 12:00:00,9,12,0,0,2.2
2019-01-10 13:00:00,9,13,0,0,2.3
2019-01-10 14:00:00,9,14,0,0,2.2
2019-01-10 15:00:00,9,15,0,0,2.4
2019-01-10 16:00:00,9,16,0,0,1.9
2019-01-10 17:00:00,9,17,0,0,1.9
2019-01-10 18:00:00,9,18,0,0,1.9
2019-01-10 19:00:00,9,19,0,0,2.1
2019-01-10 20:00:00,9,20,0,0,1.9
2019-01-10 21:00:00,9,21,0,0,1.3
2019-01-10 22:00:00,9,22,0,0,0.9
2019-01-10 23:00:00,9,23,0,0,0.5
2019-01-11 00:00:00,10,0,0,0,0.5
2019-01-11 01:00:00,10,1,0,0,1.0
2019-01-11 02:00:00,10,2,0,0,0.7
2019-01-11 03:00:00,10,3,0,0,3.9
2019-01-11 04:00:00,10,4,0,0,2.0
2019-01-11 05:00:00,10,5,0,0,1.2
2019-01-11 06:00:00,10,6,0,0,0.4
2019-01-11 07:00:00,10,7,0,0,2.2
2019-01-11 08:00:00,10,8,0,0,1.1
2019-01-11 09:00:00,10,9,0,0,1.3
2019-01-11 10:00:00,10,10,0,0,1.6
2019-01-11 11:00:00,10,11,0,0,0.9
2019-01-11 12:00:00,10,12,0,0,1.2
2019-01-11 13:00:00,10,13,0,0,1.9
2019-01-11 14:00:00,10,14,0,0,1.7
2019-01-11 15:00:00,10,15,0,0,2.2
2019-01-11 16:00:00,10,16,0,0,2.1
2019-01-11 17:00:00,10,17,0,0,2.1
2019-01-11 18:00:00,10,18,0,0,2.0
2019-01-11 19:00:00,10,19,0,0,1.8
2019-01-11 20:00:00,10,20,0,0,3.2
2019-01-11 21:00:00,10,21,0,0,2.5
2019-01-11 22:00:00,10,22,0,0,1.0
2019-01-11 23:00:00,10,23,0,0,0.9
2019-01-12 00:00:00,11,0,0,0,0.9
2019-01-12 01:00:00,11,1,0,0,0.7
2019-01-12 02:00:00,11,2,0,0,0.8
2019-01-12 03:00:00,11,3,0,0,0.8
2019-01-12 04:00:00,11,4,0,0,1.4
2019-01-12 05:00:00,11,5,0,0,0.9
2019-01-12 06:00:00,11,6,0,0,1.0
2019-01-12 07:00:00,11,7,0,0,0.5
2019-01-12 08:00:00,11,8,0,0,0.9
2019-01-12 09:00:00,11,9,0,0,0.9
2019-01-12 10:00:00,11,10,0,0,0.8
2019-01-12 11:00:00,11,11,0,0,1.7
2019-01-12 12:00:00,11,12,0,0,1.5
2019-01-12 13:00:00,11,13,0,0,2.4
2019-01-12 14:00:00,11,14,0,0,2.5
2019-01-12 15:00:00,11,15,0,0,2.5
2019-01-12 16:00:00,11,16,0,0,3.5
2019-01-12 17:00:00,11,17,0,0,2.9
2019-01-12 18:00:00,11,18,0,0,2.7
2019-01-12 19:00:00,11,19,0,0,3.2
2019-01-12 20:00:00,11,20,0,0,1.3
2019-01-12 21:00:00,11,21,0,0,2.2
2019-01-12 22:00:00,11,22,0,0,1.9
2019-01-12 23:00:00,11,23,0,0,2.0
2019-01-13 00:00:00,12,0,0,0,1.1
2019-01-13 01:00:00,12,1,0,0,0.7
2019-01-13 02:00:00,12,2,0,0,0.7
2019-01-13 03:00:00,12,3,0,0,0.7
2019-01-13 04:00:00,12,4,0,0,0.7
2019-01-13 05:00:00,12,5,0,0,1.1
2019-01-13 06:00:00,12,6,0,0,1.1
2019-01-13 07:00:00,12,7,0,0,1.3
2019-01-13 08:00:00,12,8,0,0,0.6
2019-01-13 09:00:00,12,9,0,0,0.8
2019-01-13 10:00:00,12,10,0,0,0.9
2019-01-13 11:00:00,12,11,0,0,1.1
2019-01-13 12:00:00,12,12,0,0,1.5
2019-01-13 13:00:00,12,13,0,0,1.3
2019-01-13 14:00:00,12,14,0,0,1.7
2019-01-13 15:00:00,12,15,0,0,1.7
2019-01-13 16:00:00,12,16,0,0,2.3
2019-01-13 17:00:00,12,17,0,0,1.8
2019-01-13 18:00:00,12,18,0,0,2.4
2019-01-13 19:00:00,12,19,0,0,2.3
2019-01-13 20:00:00,12,20,0,0,0.5
2019-01-13 21:00:00,12,21,0,0,1.4
2019-01-13 22:00:00,12,22,0,0,0.8
2019-01-13 23:00:00,12,23,0,0,1.2
2019-01-14 00:00:00,13,0,0,0,1.2
2019-01-14 01:00:00,13,1,0,0,1.0
2019-01-14 02:00:00,13,2,0,0,1.0
2019-01-14 03:00:00,13,3,0,0,1.0
2019-01-14 04:00:00,13,4,0,0,1.3
2019-01-14 05:00:00,13,5,0,0,1.0
2019-01-14 06:00:00,13,6,0,0,1.0
2019-01-14 07:00:00,13,7,0,0,1.2
2019-01-14 08:00:00,13,8,0,0,1.0
2019-01-14 09:00:00,13,9,0,0,0.8
2019-01-14 10:00:00,13,10,0,0,0.7
2019-01-14 11:00:00,13,11,0,0,0.6
2019-01-14 12:00:00,13,12,0,0,0.9
2019-01-14 13:00:00,13,13,0,0,1.6
2019-01-14 14:00:00,13,14,0,0,2.0
2019-01-14 15:00:00,13,15,0,0,2.0
2019-01-14 16:00:00,13,16,0,0,2.1
2019-01-14 17:00:00,13,17,0,0,2.2
2019-01-14 18:00:00,13,18,0,0,2.2
2019-01-14 19:00:00,13,19,0,0,2.0
2019-01-14 20:00:00,13,20,0,0,2.0
2019-01-14 21:00:00,13,21,0,0,1.2
2019-01-14 22:00:00,13,22,0,0,0.7
2019-01-14 23:00:00,13,23,0,0,0.3
2019-01-15 00:00:00,14,0,0,0,0.8
2019-01-15 01:00:00,14,1,0,0,0.8
2019-01-15 02:00:00,14,2,0,0,0.4
2019-01-15 03:00:00,14,3,0,0,0.9
2019-01-15 04:00:00,14,4,0,0,1.1
2019-01-15 05:00:00,14,5,0,0,0.7
2019-01-15 06:00:00,14,6,0,0,0.7
2019-01-15 07:00:00,14,7,0,0,0.9
2019-01-15 08:00:00,14,8,0,0,0.8
2019-01-15 09:00:00,14,9,0,0,1.0
2019-01-15 10:00:00,14,10,0,0,0.5
2019-01-15 11:00:00,14,11,0,0,0.7
2019-01-15 12:00:00,14,12,0,0,1.6
2019-01-15 13:00:00,14,13,0,0,1.8
2019-01-15 14:00:00,14,14,0,0,3.3
2019-01-15 15:00:00,14,15,0,0,3.1
2019-01-15 16:00:00,14,16,0,0,3.0
2019-01-15 17:00:00,14,17,0,0,2.0
2019-01-15 18:00:00,14,18,0,0,2.1
2019-01-15 19:00:00,14,19,0,0,2.2
2019-01-15 20:00:00,14,20,0,0,1.7
2019-01-15 21:00:00,14,21,0,0,1.2
2019-01-15 22:00:00,14,22,0,0,2.5
2019-01-15 23:00:00,14,23,0,0,1.8
2019-01-16 00:00:00,15,0,0,0,0.7
2019-01-16 01:00:00,15,1,0,0,1.2
2019-01-16 02:00:00,15,2,0,0,0.8
2019-01-16 03:00:00,15,3,0,0,2.1
2019-01-16 04:00:00,15,4,0,0,1.0
2019-01-16 05:00:00,15,5,0,0,1.6
2019-01-16 06:00:00,15,6,0,0,2.1
2019-01-16 07:00:00,15,7,0,0,1.9
2019-01-16 08:00:00,15,8,0,0,0.8
2019-01-16 09:00:00,15,9,0,0,1.4
2019-01-16 10:00:00,15,10,0,0,1.4
2019-01-16 11:00:00,15,11,0,0,1.0
2019-01-16 12:00:00,15,12,0,0,1.5
2019-01-16 13:00:00,15,13,0,0,2.3
2019-01-16 14:00:00,15,14,0,0,2.2
2019-01-16 15:00:00,15,15,0,0,2.6
2019-01-16 16:00:00,15,16,0,0,2.6
2019-01-16 17:00:00,15,17,0,0,2.4
2019-01-16 18:00:00,15,18,0,0,2.0
2019-01-16 19:00:00,15,19,0,0,2.1
2019-01-16 20:00:00,15,20,0,0,1.7
2019-01-16 21:00:00,15,21,0,0,1.1
2019-01-16 22:00:00,15,22,0,0,1.1
2019-01-16 23:00:00,15,23,0,0,2.9
2019-01-17 00:00:00,16,0,0,0,1.4
2019-01-17 01:00:00,16,1,0,0,3.8
2019-01-17 02:00:00,16,2,0,0,4.4
2019-01-17 03:00:00,16,3,0,0,4.2
2019-01-17 04:00:00,16,4,0,0,3.1
2019-01-17 05:00:00,16,5,0,0,2.0
2019-01-17 06:00:00,16,6,0,0,3.0
2019-01-17 07:00:00,16,7,0,0,1.3
2019-01-17 08:00:00,16,8,0,0,2.0
2019-01-17 09:00:00,16,9,0,0,0.5
2019-01-17 10:00:00,16,10,0,0,0.9
2019-01-17 11:00:00,16,11,0,0,0.7
2019-01-17 12:00:00,16,12,0,0,0.9
2019-01-17 13:00:00,16,13,0,0,1.6
2019-01-17 14:00:00,16,14,0,0,2.6
2019-01-17 15:00:00,16,15,0,0,2.3
2019-01-17 16:00:00,16,16,0,0,2.5
2019-01-17 17:00:00,16,17,0,0,2.2
2019-01-17 18:00:00,16,18,0,0,2.7
2019-01-17 19:00:00,16,19,0,0,2.2
2019-01-17 20:00:00,16,20,0,0,2.6
2019-01-17 21:00:00,16,21,0,0,2.9
2019-01-17 22:00:00,16,22,0,0,1.6
2019-01-17 23:00:00,16,23,0,0,0.8
2019-01-18 00:00:00,17,0,0,0,0.9
2019-01-18 01:00:00,17,1,0,0,0.3
2019-01-18 02:00:00,17,2,0,0,0.9
2019-01-18 03:00:00,17,3,0,0,1.2
2019-01-18 04:00:00,17,4,0,0,1.2
2019-01-18 05:00:00,17,5,0,0,0.9
2019-01-18 06:00:00,17,6,0,0,0.6
2019-01-18 07:00:00,17,7,0,0,0.8
2019-01-18 08:00:00,17,8,0,0,0.5
2019-01-18 09:00:00,17,9,0,0,0.6
2019-01-18 10:00:00,17,10,0,0,0.8
2019-01-18 11:00:00,17,11,0,0,0.6
2019-01-18 12:00:00,17,12,0,0,1.6
2019-01-18 13:00:00,17,13,0,0,2.2
2019-01-18 14:00:00,17,14,0,0,2.6
2019-01-18 15:00:00,17,15,0,0,2.6
2019-01-18 16:00:00,17,16,0,0,4.1
2019-01-18 17:00:00,17,17,0,0,3.0
2019-01-18 18:00:00,17,18,0,0,3.3
2019-01-18 19:00:00,17,19,0,0,3.2
2019-01-18 20:00:00,17,20,0,0,1.6
2019-01-18 21:00:00,17,21,0,0,1.0
2019-01-18 22:00:00,17,22,0,0,1.1
2019-01-18 23:00:00,17,23,0,0,1.3
2019-01-19 00:00:00,18,0,0,0,0.9
2019-01-19 01:00:00,18,1,0,0,1.6
2019-01-19 02:00:00,18,2,0,0,1.3
2019-01-19 03:00:00,18,3,0,0,1.0
2019-01-19 04:00:00,18,4,0,0,1.3
2019-01-19 05:00:00,18,5,0,0,0.8
2019-01-19 06:00:00,18,6,0,0,1.3
2019-01-19 07:00:00,18,7,0,0,0.6
2019-01-19 08:00:00,18,8,0,0,1.1
2019-01-19 09:00:00,18,9,0,0,0.7
2019-01-19 10:00:00,18,10,0,0,2.0
2019-01-19 11:00:00,18,11,0,0,0.9
2019-01-19 12:00:00,18,12,0,0,1.3
2019-01-19 13:00:00,18,13,0,0,1.7
2019-01-19 14:00:00,18,14,0,0,2.2
2019-01-19 15:00:00,18,15,0,0,2.7
2019-01-19 16:00:00,18,16,0,0,2.4
2019-01-19 17:00:00,18,17,0,0,2.7
2019-01-19 18:00:00,18,18,0,0,2.4
2019-01-19 19:00:00,18,19,0,0,1.9
2019-01-19 20:00:00,18,20,0,0,2.0
2019-01-19 21:00:00,18,21,0,0,2.4
2019-01-19 22:00:00,18,22,0,0,1.8
2019-01-19 23:00:00,18,23,0,0,1.4
2019-01-20 00:00:00,19,0,0,0,0.6
2019-01-20 01:00:00,19,1,0,0,0.4
2019-01-20 02:00:00,19,2,0,0,3.0
2019-01-20 03:00:00,19,3,0,0,2.0
2019-01-20 04:00:00,19,4,0,0,2.3
2019-01-20 05:00:00,19,5,0,0,1.7
2019-01-20 06:00:00,19,6,0,0,1.6
2019-01-20 07:00:00,19,7,0,0,0.9
2019-01-20 08:00:00,19,8,0,0,1.1
2019-01-20 09:00:00,19,9,0,0,1.5
2019-01-20 10:00:00,19,10,0,0,0.9
2019-01-20 11:00:00,19,11,0,0,0.5
2019-01-20 12:00:00,19,12,0,0,1.1
2019-01-20 13:00:00,19,13,0,0,1.8
2019-01-20 14:00:00,19,14,0,0,1.9
2019-01-20 15:00:00,19,15,0,0,1.3
2019-01-20 16:00:00,19,16,0,0,2.4
2019-01-20 17:00:00,19,17,0,0,2.2
2019-01-20 18:00:00,19,18,0,0,1.9
2019-01-20 19:00:00,19,19,0,0,0.5
2019-01-20 20:00:00,19,20,0,0,1.1
2019-01-20 21:00:00,19,21,0,0,0.8
2019-01-20 22:00:00,19,22,0,0,1.8
2019-01-20 23:00:00,19,23,0,0,1.2
2019-01-21 00:00:00,20,0,0,0,1.0
2019-01-21 01:00:00,20,1,0,0,2.2
2019-01-21 02:00:00,20,2,0,0,1.8
2019-01-21 03:00:00,20,3,0,0,1.2
2019-01-21 04:00:00,20,4,0,0,1.7
2019-01-21 05:00:00,20,5,0,0,1.2
2019-01-21 06:00:00,20,6,0,0,1.1
