0  82.94729  24.65  -40.8999
360  80.94626  25.12  130
720  88.24274  25.06998  883.4001
1080  89.11889  25.18  185.4001
1440  90.48352  24.86002  -63.19995
1800  88.33424  25.17002  136.4001
2160  88.02808  26.06  880.3
2520  88.39977  26.26999  179.2
2880  89.66989  26.37  -45.69995
3240  88.59267  26.56  99.2002
3600  83.87582  27.75998  805.5
3960  84.94073  27.56  149.3
4320  89.1487  26.9  -36.5
4680  89.40564  26.84  117.3
5040  91.57909  26.44999  539.8999
5400  91.13044  25.73999  101.6001
5760  93.08588  24.92002  -24.6001
6120  90.21238  25.62  25.3999
6480  96.59941  24.17002  337.5
6840  95.55106  24.61002  42.80005
7200  94.34604  25.00998  -28.5
7560  89.24421  25.87998  44.40015
7920  89.4523  25.56998  317.3999
8280  87.10013  26.4  76.3999
8640  85.77831  26.54001  -41.6001
9000  84.50256  26.79999  144.8999
9360  82.81363  27.94999  901.8999
9720  81.26553  28.18  195.2998
10080  84.39845  28.01999  -52
10440  85.07566  27.57999  144.3
10800  87.53355  28.17002  897.9001
11160  82.86311  28.19999  189.8
11520  84.68195  27.29001  -66.5
11880  83.62914  26.88999  130.0999
12240  85.06849  26.92002  852
12600  84.07746  26.93  165
12960  84.61751  27.43  -67.6001
13320  83.73128  27.25998  131.4998
13680  86.15226  26.88999  890.5
14040  84.19667  26.96  174.7
14400  84.19911  27.12998  -67.3999
14760  80.74534  27.29001  128.3
15120  83.9848  27.25998  894.9001
15480  84.49947  27.00998  170.2
15840  84.6296  26.36002  -74.09985
16200  80.5597  26.37  123.9001
16560  81.3881  26.63999  888.9998
16920  83.02303  26.44999  182.2
17280  83.86436  26.07999  -74.30005
17640  79.88758  26.79999  106.3999
18000  82.49528  26.98001  838.6001
18360  83.43285  26.93  182.2
18720  81.70763  27.06998  -49.5
19080  79.75954  27.01999  98.5
19440  81.27486  27.01999  848.8
19800  83.19812  27.4  182.6001
20160  83.66107  27.19999  -53.5
20520  83.73851  27.34  113.1001
20880  83.83489  27.01999  784.2
21240  85.47998  27.48999  179
21600  85.50851  27.79999  -37.30005
21960  84.58699  27.56998  48.5
22320  86.32118  27.69999  435.1001
22680  84.93401  28.32999  112.3
23040  85.08986  27.92002  -27
23400  86.98892  27.9  91
23760  89.231  27.44999  505.7002
24120  86.77866  27.75998  102.2
24480  88.71224  26.81  -30.3999
24840  86.36813  26.87  111.5
25200  90.02634  26.11002  695.4998
25560  86.36712  26.94999  152
25920  86.16526  26.75  -45.40015
26280  84.26672  27.25998  117.5
26640  87.12803  27.5  847.2
27000  87.37943  27.43  177.2
27360  87.24401  26.73001  -37.5
27720  88.17147  26.63999  77.30005
28080  88.25039  26.50998  511.7998
28440  86.4677  26.98999  134.5
28800  87.49924  26.29999  -30.6001
